dx,dy,mode
0.0,0.0,0
0.0,0.0,0
0.0,0.0,0
0.0,0.0,0
0.0,0.0,0
0.0,0.0,0
0.0,0.0,0
0.0,0.0,0
-25.4,-235.5,0
352.2,-221.5,0
0.0,0.0,0
0.0,0.0,0
0.0,0.0,0
0.0,0.0,0
0.1,-62.0,0
-30.5,-43.3,0
-43.6,-5.2,0
0.0,0.0,0
0.0,0.0,0
0.0,0.0,0
-32.3,24.9,0
427.8,-13.7,0
0.0,0.0,0
-141.2,81.3,0
0.0,0.0,0
0.0,0.0,0
0.0,0.0,0
309.0,15.6,0
-18.9,65.3,0
-208.3,119.3,0
-291.4,118.4,0
42.0,119.3,0
-137.5,193.0,0
-41.9,197.7,0
50.3,219.8,0
24.0,184.2,0
73.8,183.1,0
-22.0,186.8,0
72.4,224.7,0
72.7,185.0,0
75.0,186.0,0
120.5,182.8,0
73.4,184.0,0
75.1,182.9,0
75.0,189.3,0
119.1,184.8,0
119.0,194.8,0
121.2,203.1,0
122.4,197.9,0
121.6,188.9,0
121.5,187.8,0
121.0,194.4,0
122.3,224.3,0
-21.9,218.2,0
-22.5,215.2,0
169.9,199.8,0
46.8,220.5,0
-17.4,187.5,0
50.5,226.2,0
168.5,228.4,0
72.2,228.8,0
24.8,229.2,0
71.5,231.9,0
25.1,235.2,0
24.1,229.0,0
25.8,225.2,0
-262.6,272.6,0
28.1,229.5,0
28.2,228.7,0
26.5,221.3,0
-214.8,222.2,0
72.2,179.5,0
73.0,178.4,0
74.0,199.2,0
75.0,225.2,0
76.9,234.7,0
77.4,228.2,0
120.3,228.8,0
122.0,223.6,0
124.5,233.4,0
123.6,236.5,0
126.5,232.7,0
-44.9,270.0,0
-40.9,272.0,0
-21.8,231.9,0
-66.8,226.5,0
-62.4,229.2,0
48.3,245.8,0
47.9,231.3,0
45.9,245.3,0
-21.4,202.5,0
54.5,230.7,0
55.5,247.6,0
54.2,247.8,0
61.1,225.2,0
57.5,251.8,0
26.7,215.8,0
30.4,204.6,0
30.1,218.2,0
73.2,194.7,0
72.1,189.6,0
74.8,187.5,0
141.0,229.0,0
76.5,197.2,0
78.0,220.0,0
120.9,193.2,0
119.4,192.5,0
121.6,194.2,0
121.3,221.7,0
121.6,187.9,0
167.9,180.7,0
167.6,185.8,0
-143.9,272.3,0
-139.3,272.4,0
-30.9,199.5,0
-43.9,206.8,0
169.9,191.3,0
170.8,190.3,0
216.4,189.3,0
45.1,231.3,0
47.5,228.2,0
43.6,251.4,0
48.0,233.2,0
50.2,272.7,0
51.7,273.3,0
-16.9,233.5,0
-22.8,224.5,0
24.0,220.0,0
25.1,227.5,0
24.9,229.5,0
25.1,227.7,0
26.4,228.2,0
26.7,229.4,0
72.2,229.1,0
73.4,231.9,0
71.9,232.3,0
72.1,230.7,0
73.4,234.9,0
119.9,233.5,0
120.8,228.8,0
122.2,232.5,0
122.7,229.3,0
-121.4,229.7,0
-120.8,228.0,0
-120.6,225.0,0
-115.0,228.3,0
-72.2,227.4,0
169.2,230.1,0
170.0,234.9,0
170.7,228.9,0
169.6,226.5,0
-43.1,270.0,0
-43.2,270.0,0
47.8,245.1,0
47.5,234.3,0
-15.0,213.2,0
-18.7,225.4,0
-18.6,221.3,0
-12.7,198.1,0
-13.7,192.8,0
22.8,197.7,0
28.5,199.2,0
29.7,221.6,0
25.8,227.9,0
28.9,229.0,0
28.5,231.5,0
31.6,235.3,0
72.5,243.3,0
74.0,231.2,0
72.8,227.3,0
74.5,238.7,0
75.0,230.8,0
-43.9,239.3,0
-38.5,237.3,0
-37.5,232.5,0
-35.1,236.9,0
-27.8,229.4,0
-14.1,221.9,0
-64.0,222.2,0
47.8,242.5,0
52.7,276.9,0
54.7,278.0,0
56.3,273.4,0
-18.9,227.7,0
-18.1,227.2,0
-19.7,236.6,0
-17.7,238.7,0
216.8,237.0,0
25.0,243.3,0
28.6,212.1,0
28.4,234.5,0
28.6,245.7,0
30.4,225.8,0
216.9,225.1,0
25.6,220.0,0
313.0,193.3,0
74.3,187.2,0
73.5,184.3,0
73.2,183.1,0
73.1,180.3,0
73.0,181.9,0
-42.8,196.8,0
-46.2,215.3,0
-38.3,226.9,0
-111.8,223.9,0
120.5,200.5,0
122.1,186.4,0
-65.4,170.3,0
-63.9,170.8,0
-64.5,183.7,0
-63.5,187.2,0
-307.2,195.9,0
-23.1,220.8,0
328.6,221.4,0
-22.7,189.7,0
-23.7,196.7,0
23.4,194.5,0
409.5,185.0,0
26.1,180.9,0
25.2,187.6,0
25.4,187.6,0
25.4,185.2,0
24.9,185.2,0
72.4,184.6,0
72.0,182.1,0
72.1,184.0,0
27.1,180.9,0
26.6,185.2,0
26.4,185.5,0
27.1,189.4,0
120.2,226.1,0
74.4,227.7,0
75.3,220.7,0
74.8,233.4,0
-114.6,228.4,0
-114.5,220.8,0
-111.6,227.0,0
-113.8,222.2,0
-114.4,222.8,0
-70.1,224.0,0
-67.7,218.4,0
170.0,235.2,0
-64.7,218.0,0
-62.5,215.8,0
-63.9,218.5,0
51.9,277.2,0
52.3,232.8,0
53.4,239.6,0
54.8,234.6,0
53.5,242.3,0
52.8,253.2,0
-12.8,238.5,0
-268.8,267.7,0
217.8,234.7,0
27.7,240.2,0
29.4,238.0,0
27.8,237.1,0
28.1,228.1,0
27.6,227.5,0
26.7,228.2,0
72.5,224.6,0
72.2,236.0,0
235.0,243.2,0
237.2,243.1,0
238.3,216.4,0
75.0,225.9,0
73.5,220.6,0
-120.3,218.1,0
121.4,181.6,0
121.0,179.6,0
-119.1,173.0,0
121.7,180.3,0
-71.2,173.9,0
-72.6,173.5,0
-116.0,177.5,0
-71.1,183.1,0
-69.9,184.3,0
