dx,dy,mode
0.0,0.0,0
0.0,0.0,0
0.0,0.0,0
0.0,0.0,0
0.0,0.0,0
0.0,0.0,0
0.0,0.0,0
0.0,0.0,0
0.0,0.0,0
0.0,0.0,0
0.0,0.0,0
0.0,0.0,0
0.0,0.0,0
0.0,0.0,0
0.0,0.0,0
0.0,0.0,0
0.0,0.0,0
0.0,0.0,0
0.0,0.0,0
0.0,0.0,0
0.0,0.0,0
0.0,0.0,0
0.0,0.0,0
0.0,0.0,0
0.0,0.0,0
0.0,0.0,0
0.0,0.0,0
0.0,0.0,0
0.0,0.0,0
0.0,0.0,0
0.0,0.0,0
0.0,0.0,0
0.0,0.0,0
0.0,0.0,0
0.0,0.0,0
0.0,0.0,0
0.0,0.0,0
0.0,0.0,0
0.0,0.0,0
0.0,0.0,0
0.0,0.0,0
0.0,0.0,0
0.0,0.0,0
0.0,0.0,0
0.0,0.0,0
0.0,0.0,0
0.0,0.0,0
0.0,0.0,0
0.0,0.0,0
0.0,0.0,0
0.0,0.0,0
0.0,0.0,0
0.0,0.0,0
0.0,0.0,0
0.0,0.0,0
0.0,0.0,0
0.0,0.0,0
0.0,0.0,0
0.0,0.0,0
0.0,0.0,0
0.0,0.0,0
0.0,0.0,0
0.0,0.0,0
0.0,0.0,0
0.0,0.0,0
0.0,0.0,0
0.0,0.0,0
0.0,0.0,0
0.0,0.0,0
0.0,0.0,0
0.0,0.0,0
0.0,0.0,0
0.0,0.0,0
0.0,0.0,0
0.0,0.0,0
0.0,0.0,0
0.0,0.0,0
0.0,0.0,0
0.0,0.0,0
0.0,0.0,0
0.0,0.0,0
0.0,0.0,0
0.0,0.0,0
0.0,0.0,0
0.0,0.0,0
0.0,0.0,0
0.0,0.0,0
0.0,0.0,0
0.0,0.0,0
0.0,0.0,0
0.0,0.0,0
0.0,0.0,0
0.0,0.0,0
0.0,0.0,0
0.0,0.0,0
0.0,0.0,0
0.0,0.0,0
0.0,0.0,0
0.0,0.0,0
0.0,0.0,0
0.0,0.0,0
0.0,0.0,0
0.0,0.0,0
0.0,0.0,0
0.0,0.0,0
0.0,0.0,0
0.0,0.0,0
0.0,0.0,0
0.0,0.0,0
0.0,0.0,0
0.0,0.0,0
0.0,0.0,0
0.0,0.0,0
0.0,0.0,0
0.0,0.0,0
0.0,0.0,0
0.0,0.0,0
0.0,0.0,0
0.0,0.0,0
0.0,0.0,0
0.0,0.0,0
0.0,0.0,0
0.0,0.0,0
0.0,0.0,0
0.0,0.0,0
0.0,0.0,0
0.0,0.0,0
0.0,0.0,0
0.0,0.0,0
0.0,0.0,0
0.0,0.0,0
0.0,0.0,0
0.0,0.0,1
0.0,0.0,1
0.0,0.0,1
0.0,0.0,1
0.0,0.0,1
0.0,0.0,1
73.6,-14.8,1
179.4,-19.9,1
158.0,-19.2,1
96.9,1.1,1
-62.3,-14.3,1
-260.7,-31.4,1
0.0,0.0,1
0.0,0.0,1
0.0,0.0,1
-660.9,-16.1,1
-590.4,10.8,1
-463.4,10.9,1
-185.1,62.3,1
75.8,83.6,1
401.4,104.6,1
0.0,0.0,1
0.0,0.0,1
663.7,40.5,1
543.3,20.6,1
413.8,-20.3,1
168.7,-42.2,1
-107.9,-104.3,1
-495.2,-141.7,1
0.0,0.0,1
-779.3,-168.9,1
-505.3,-116.7,1
-227.0,-35.8,1
54.3,0.6,1
451.9,100.5,1
0.0,0.0,1
0.0,0.0,1
714.9,36.7,1
629.0,69.6,1
522.8,25.8,1
299.4,-10.6,1
41.5,-76.7,1
-281.9,-52.5,1
-653.0,-3.4,1
0.0,0.0,1
0.0,0.0,1
0.0,0.0,1
0.0,0.0,1
-731.5,116.6,1
0.0,0.0,1
0.0,0.0,1
-627.9,-20.1,1
-461.0,-14.1,1
-627.2,-29.8,1
-708.8,-32.0,1
0.0,0.0,1
-123.4,84.0,1
103.1,122.8,1
292.4,140.6,1
395.8,117.7,1
365.1,119.2,1
283.9,97.3,1
189.8,75.5,1
70.9,-9.0,1
-30.6,-27.4,1
-146.7,-66.2,1
-209.0,-94.4,1
-110.2,-77.4,1
37.4,-65.0,1
178.3,-56.3,1
282.0,2.7,1
228.7,48.4,1
62.4,70.8,1
-163.1,77.1,1
0.0,0.0,1
0.0,0.0,1
-651.0,52.2,1
0.0,0.0,1
0.0,0.0,1
0.0,0.0,1
0.0,0.0,1
0.0,0.0,1
0.0,0.0,1
-712.0,20.8,1
-236.6,45.2,1
-165.4,112.0,1
38.2,214.9,1
269.9,284.7,1
476.0,328.0,1
556.3,221.2,1
496.5,97.6,1
333.7,-67.4,1
132.7,-194.6,1
-116.7,-344.9,1
0.0,0.0,1
0.0,0.0,1
-543.8,-245.3,1
-561.7,-148.4,1
-504.0,-87.8,1
-289.2,3.8,1
-13.7,74.8,1
339.6,187.7,1
778.1,315.0,1
0.0,0.0,1
0.0,0.0,1
0.0,0.0,1
0.0,0.0,1
743.7,120.6,1
799.2,23.5,1
0.0,0.0,1
656.2,-207.2,1
418.1,-257.4,1
205.0,-265.5,1
-5.1,-248.3,1
-199.6,-242.3,1
-131.5,-210.2,1
25.7,-127.3,1
0.0,0.0,1
164.5,72.5,1
265.2,245.1,1
333.2,282.4,1
314.6,278.3,1
217.5,255.2,1
82.2,203.2,1
-110.2,135.6,1
-339.3,48.2,1
0.0,0.0,1
-546.1,-121.5,1
-499.3,-146.3,1
-453.0,-116.6,1
0.0,0.0,1
0.0,0.0,1
0.0,0.0,1
89.0,73.9,1
120.2,99.4,1
108.9,132.3,1
23.1,100.2,1
-130.5,77.5,1
-269.1,56.5,1
-335.8,-11.0,1
-264.0,-47.1,1
-134.3,-16.5,1
82.1,8.1,1
327.1,9.4,1
